Debit,DATE,Description,Credit,Amount,,,,,
Capital One Checking,1/14/2020,Transfer,Paypal,$210.00 ,,,,,
Paypal,1/14/2020,HoCo Pickleball association,Activities,$36.00 ,,,,,
Paypal,1/14/2020,Paid John McHenry for league + John,Volleyball,$210.00 ,,,,,
Citi Double Cash Back,1/15/2020,JCPENNEY 2732 COLUMBIA MD,Clothing,$18.01 ,,,,,
Citi Double Cash Back,1/15/2020,CVS/PHARMACY #01909 ELKRIDGE MD,Pharmacy,$26.70 ,,,,,
Citi Double Cash Back,1/15/2020,ZOLA REGISTRY 4086579652 NY,Clothing,$76.02 ,,,,,
Citi Double Cash Back,1/15/2020,A EAGLE OUTFTR00001271 COLUMBIA MD,Clothing,$89.50 ,,,,,
Citi Double Cash Back,1/15/2020,SEPHORA 458 COLUMBIA MD,Clothing,$172.78 ,,,,,
Gifts,1/16/2020,AMAZON MARKETPLACE,Amazon Store Card,$65.11 ,,,,,
Citi Double Cash Back,1/16/2020,Spotify USA New York NY,Spotify,$9.99 ,,,,,
Citi Double Cash Back,1/16/2020,ZIPS DRY CLEANERS ELKR ELKRIDGE MD,Dry Cleaning,$18.41 ,,,,,
Citi Double Cash Back,1/16/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$33.77 ,,,,,
Capital One Savor,1/16/2020,Sarku Japan,Delivery/ Carry-Out,$22.11 ,,,,,
AMEX Blue Cash,1/17/2020,ALDI,Groceries,$11.29 ,,,,,
Amazon Store Card,1/18/2020,AMAZON MARKETPLACE,Gifts,$17.97 ,,,,,
Amazon Store Card,1/18/2020,AMAZON MARKETPLACE,Gifts,$67.72 ,,,,,
Amazon Store Card,1/18/2020,AMAZON MARKETPLACE,Gifts,$12.53 ,,,,,
Citi Double Cash Back,1/18/2020,PABC MULTI SPACE 2 BALTIMORE MD,Parking,$1.00 ,,,,,
Amazon Store Card,1/19/2020,AMAZON MARKETPLACE,Gifts,$9.53 ,,,,,
Citi Double Cash Back,1/19/2020,LOWES #02244* ELKRIDGE MD,Wedding,$12.17 ,,,,,
Discover It Credit Card,1/19/2020,GIANT,Groceries,$84.73 ,,,,,
Discover It Credit Card,1/19/2020,ALDI,Groceries,$5.73 ,,,,,
Chase Sapphire,1/20/2020,HOTEL AMOR ARENAL,Wedding,"$2,260.00 ",,,,,
Citi Double Cash Back,1/20/2020,A PART 2 PLAY GLEN BURNIE MD,Wedding,$210.00 ,,,,,
Capital One Savor,1/20/2020,Riptide By The Bay,Dining Out,$115.00 ,,,,,
Capital One Savor,1/20/2020,Tous Les Jours,Coffee Shops,$25.59 ,,,,,
Capital One Savor,1/20/2020,Tous Les Jours,Coffee Shops,$12.58 ,,,,,
Discover It Credit Card,1/21/2020,WEIS Markets,Groceries,$26.11 ,,,,,
Capital One Checking,1/21/2020,Royal Farms,Gas,$20.67 ,,,,,
Tower FCU Checking,1/21/2020,Payment to 407841-10L,Tower FCU Car Loan,$654.16 ,,,,,
CACI,1/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,1/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,1/22/2020,PAYCHECK,Capital One Savings,$750.47 ,,,,,
CACI,1/22/2020,PAYCHECK,Capital One Savings,$529.16 ,,,,,
CACI,1/22/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,1/22/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,1/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,1/22/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,1/22/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,1/22/2020,PAYCHECK,401k - Syd,$307.51 ,,,,,
CACI,1/22/2020,PAYCHECK,HSA,$83.33 ,,,,,
CACI Contr.,1/22/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,1/22/2020,PAYCHECK,401k - Syd,$153.76 ,,,,,
CACI Contr.,1/22/2020,PAYCHECK,HSA,$150.00 ,,,,,
Amazon Store Card,1/23/2020,AMAZON MARKETPLACE,Clothing,$145.91 ,,,,,
Citi Double Cash Back,1/23/2020,WEGMANS COLUMBIA #47,Groceries,$129.06 ,,,,,
Groceries,1/23/2020,Ward split the groceries for Jeanine's birthday,SquareCash,$65.00 ,,,,,
Amazon Store Card,1/26/2020,AMAZON MARKETPLACE,Volleyball,$14.82 ,,,,,
Venmo,1/26/2020,Paid Ob for Chick-Fil-A,Dining Out,$17.00 ,,,,,
Amazon Store Card,1/27/2020,AMAZON MARKETPLACE,Clothing,$32.85 ,,,,,
Amazon Store Card,1/27/2020,AMAZON MARKETPLACE,Pharmacy,$6.72 ,,,,,
Citi Double Cash Back,1/27/2020,USPS PO 2341400277 ELKRIDGE MD,Wedding,$49.50 ,,,,,
Capital One Checking,1/27/2020,Royal Farms,Gas,$13.86 ,,,,,
Capital One Checking,1/27/2020,Royal Farms,Gas,$49.51 ,,,,,
Capital One Savor,1/27/2020,McDonalds,Dining Out,$9.95 ,,,,,
Amazon Store Card,1/28/2020,AMAZON MARKETPLACE,Groceries,$3.69 ,,,,,
Capital One Savor,1/28/2020,MOD Pizza,Dining Out,$25.10 ,,,,,
Amazon Store Card,1/29/2020,AMAZON MARKETPLACE,Clothing,$39.21 ,,,,,
Clothing,1/29/2020,refund - AMAZON MARKETPLACE,Amazon Store Card,$24.05 ,,,,,
Citi Double Cash Back,1/29/2020,DEFENDER RAZOR,Grooming,$7.95 ,,,,,
Citi Double Cash Back,1/29/2020,THE CITY OF LAUREL HANOVER MD,Tickets/Fines,$40.00 ,,,,,
Discover It Credit Card,1/29/2020,ALDI,Groceries,$142.39 ,,,,,
Amazon Store Card,1/30/2020,AMAZON MARKETPLACE,Electronics,$10.53 ,,,,,
Citi Double Cash Back,1/30/2020,DUNKIN' AUTO RELOAD 8004470013 MA,Coffee Shops,$50.00 ,,,,,
Citi Double Cash Back,1/30/2020,Etsy.com Brooklyn NY,Wedding,$290.97 ,,,,,
Amazon Store Card,1/31/2020,AMAZON MARKETPLACE,Wedding,$90.10 ,,,,,
Clothing,1/31/2020,refund - AMAZON MARKETPLACE,Amazon Store Card,$99.61 ,,,,,
Checking Interest,1/31/2020,Monthly Interest Paid,Capital One Checking,$0.95 ,,,,,
Savings Interest,1/31/2020,Monthly Interest Paid,Capital One Savings,$22.22 ,,,,,
Checking Interest,1/31/2020,DIVIDEND/ Dividend,Tower FCU Checking,$0.03 ,,,,,
Savings Interest,1/31/2020,DIVIDEND/ Dividend,Tower FCU Savings,$0.02 ,,,,,
